emp_id,store_id,name
1,19,Jason Owen
2,9,Mr. Robert Stevenson
3,9,Chad Clay
4,6,Kimberly Robles
5,12,Evan Smith
6,19,Crystal Johnson
7,8,Bradley Hebert
8,6,Billy Crosby
9,2,Ricardo Warner
10,10,Kathryn Green
11,14,Daniel Washington
12,8,Brandi Waters
13,8,Bryan Cox
14,17,Carla Wilson
15,11,Tracy Mcneil MD
16,17,Joseph Clark
17,14,Charlotte Wells
18,5,William Foley
19,13,Amanda Evans
20,20,John Robinson
21,6,Tommy Williams
22,10,Christopher Larson
23,6,Kristin Sims
24,18,Teresa Clark
25,7,Caitlin Gay
26,13,Sydney Lopez
27,11,Holly Fleming
28,5,Rachel White
29,1,Darrell Meza
30,7,Diana Huerta
31,11,Sherry Acosta
32,3,Hannah Romero
33,6,Laura Mcpherson
34,15,Kelsey Barr
35,8,Lindsay Nelson
36,16,Kathleen Oneal
37,18,Dominique Deleon
38,16,David Gonzalez
39,6,Natasha Barry
40,13,Cole Parker
41,19,Justin Chavez
42,19,Kyle Anderson
43,8,Anthony Frost
44,20,Terri Lopez
45,8,Reginald Clayton
46,12,Sara Johnson
47,15,Matthew Becker
48,12,Julia Rodriguez
49,6,Casey Wong
50,15,Jose Hogan
51,15,Dr. Eric Castillo II
52,4,Alyssa Tucker
53,13,Angela Stein
54,8,Manuel Fernandez
55,17,Taylor Rollins
56,19,Eric Rodriguez
57,8,Sara Hopkins DDS
58,14,Douglas Curtis
59,16,Zachary Alexander
60,2,Lori Jones
61,19,Taylor Clark
62,1,Raymond Ford
63,1,Heather Simmons
64,20,Thomas Velazquez
65,19,Amber Watson
66,9,Alex Thomas
67,3,Anthony Ortega
68,9,Brent Taylor
69,8,Isabel Johnson
70,7,Daniel Dalton
71,9,Hannah Callahan
72,9,Richard Odom
73,13,Cynthia Nelson PhD
74,8,Ruth Davis
75,9,Debra Browning
76,8,Sharon Perez
77,7,Christopher Thompson
78,3,Kimberly Lee
79,16,Samuel Stanton
80,19,Brian Taylor
81,18,Taylor Manning
82,8,Paul Miller
83,5,Christian Alexander
84,15,James Gibson
85,2,Nathan Thompson
86,15,Scott Hernandez
87,5,Douglas Wu
88,3,Troy Campos
89,13,Kathleen Walker
90,10,Lance Phillips
91,19,Kurt Kirby
92,9,George Kelly
93,15,Sarah Campbell
94,2,Christina Moore
95,20,Jessica Hayes
96,5,Ryan Jackson
97,14,Karen Jones
98,15,Jeremiah Smith
99,7,Whitney Rogers
100,3,Charles Ramsey
