sub_id,customer_id,account_id,plan_id,device_id,sim_id,phone_number
1,1,1,5,1,1,001-862-713-2508x628
2,2,2,4,2,2,(443)747-6088x2309
3,3,3,5,3,3,+1-872-589-4673
4,4,4,3,4,4,363-930-8460
5,5,5,3,5,5,(262)680-3364
6,6,6,1,6,6,+1-374-891-1634x30310
7,7,7,5,7,7,(736)962-2845x54140
8,8,8,1,8,8,+1-862-329-5110x848
9,9,9,5,9,9,8662002604
10,10,10,3,10,10,+1-617-349-5389x1624
11,11,11,2,11,11,5664788457
12,12,12,1,12,12,565-702-4238
13,13,13,4,13,13,240-471-1072x985
14,14,14,1,14,14,705.506.6714
15,15,15,3,15,15,731.671.4795
16,16,16,5,16,16,001-312-798-2492x2028
17,17,17,1,17,17,+1-420-889-5217x6801
18,18,18,4,18,18,+1-362-550-5073x249
19,19,19,2,19,19,+1-843-403-2502x749
20,20,20,3,20,20,883.784.4037
21,21,21,1,21,21,539-299-4285x803
22,22,22,4,22,22,764.214.8632x90850
23,23,23,3,23,23,001-948-471-5905x18237
24,24,24,4,24,24,509-307-4447
25,25,25,2,25,25,001-617-817-4003x456
26,26,26,1,26,26,873-874-4966x60723
27,27,27,5,27,27,001-804-574-1208x1803
28,28,28,5,28,28,825.228.9404x39351
29,29,29,2,29,29,(869)657-7526
30,30,30,3,30,30,+1-303-916-3678
31,31,31,3,31,31,524-581-3537x64298
32,32,32,1,32,32,2397539526
33,33,33,3,33,33,329.687.3401
34,34,34,1,34,34,+1-697-247-5473x770
35,35,35,3,35,35,001-767-981-9456
36,36,36,3,36,36,839.361.0340x573
37,37,37,4,37,37,6805417569
38,38,38,4,38,38,8723188771
39,39,39,5,39,39,(758)972-3634x1104
40,40,40,3,40,40,+1-367-412-6572
41,41,41,4,41,41,001-391-827-8988x52499
42,42,42,3,42,42,9845158553
43,43,43,5,43,43,7438763185
44,44,44,2,44,44,207.216.9448x1440
45,45,45,3,45,45,001-240-975-6023x1064
46,46,46,4,46,46,001-997-529-6822x88542
47,47,47,3,47,47,001-844-897-9925x1973
48,48,48,2,48,48,+1-554-475-8783x7105
49,49,49,5,49,49,(390)967-7185x360
50,50,50,1,50,50,330-840-2560x0413
51,51,51,4,51,51,+1-367-975-2707x12797
52,52,52,1,52,52,(335)906-4272x99043
53,53,53,1,53,53,001-867-562-2702x5431
54,54,54,1,54,54,001-715-884-6472
55,55,55,4,55,55,2468782036
56,56,56,1,56,56,001-915-550-2613x409
57,57,57,4,57,57,722-606-6766
58,58,58,2,58,58,+1-505-432-4216x9435
59,59,59,2,59,59,561.478.0581x38057
60,60,60,5,60,60,736-778-8645
61,61,61,3,61,61,(761)951-0705
62,62,62,3,62,62,9526950868
63,63,63,4,63,63,812-435-9989x6258
64,64,64,4,64,64,(935)960-0625x5151
65,65,65,2,65,65,001-451-993-7849x531
66,66,66,1,66,66,844.458.0197
67,67,67,4,67,67,734-461-6461
68,68,68,2,68,68,001-265-332-2247x081
69,69,69,3,69,69,681-529-7198x840
70,70,70,1,70,70,248.212.6817x930
71,71,71,1,71,71,588-699-0580x81403
72,72,72,1,72,72,001-805-208-1056x358
73,73,73,1,73,73,+1-321-431-1669x4602
74,74,74,2,74,74,867-464-2812x5983
75,75,75,3,75,75,3744988495
76,76,76,1,76,76,(909)320-3314x6565
77,77,77,4,77,77,001-666-557-8130x49950
78,78,78,3,78,78,596.441.6450x86295
79,79,79,1,79,79,001-323-507-2487x64126
80,80,80,4,80,80,+1-595-557-4586x18058
81,81,81,4,81,81,308-435-4427x8859
82,82,82,4,82,82,7698656932
83,83,83,4,83,83,(376)422-3683
84,84,84,3,84,84,253.441.8399x5578
85,85,85,1,85,85,(480)617-7106
86,86,86,5,86,86,(302)669-4473x534
87,87,87,3,87,87,001-939-210-3231x866
88,88,88,5,88,88,(567)647-7201x10408
89,89,89,3,89,89,978.926.0187
90,90,90,1,90,90,+1-453-434-2253x939
91,91,91,4,91,91,725-277-7277x457
92,92,92,3,92,92,(618)885-2114
93,93,93,2,93,93,9366383968
94,94,94,1,94,94,(604)975-9835
95,95,95,2,95,95,001-770-669-3928x53202
96,96,96,5,96,96,(816)579-4677x81898
97,97,97,3,97,97,001-361-739-5945x921
98,98,98,2,98,98,001-872-435-0194x7377
99,99,99,3,99,99,(938)496-5499x7791
100,100,100,1,100,100,(400)881-0014
101,101,101,4,101,101,+1-669-206-2515x75951
102,102,102,5,102,102,001-767-910-8004
103,103,103,5,103,103,(742)427-4966
104,104,104,2,104,104,+1-748-330-5171x972
105,105,105,1,105,105,(734)933-5367
